"location","remarks","state","amount","valid_time","valid_time_clean","valid_time_pretty","color_bin","remarks_new"
"2 NNW Sabillasville","","PA",1,1710120540,2024-03-10 20:29:00,"March 10, 2024 - 08:29 PM EST","1-3 inches","None"
"Pocono Pines","Snow and graupel.","PA",1.3,1710103500,2024-03-10 15:45:00,"March 10, 2024 - 03:45 PM EST","1-3 inches","Snow and graupel."
"3 NE Cochranton","12-hour snowfall.","PA",2.5,1710115200,2024-03-10 19:00:00,"March 10, 2024 - 07:00 PM EST","1-3 inches","12-hour snowfall."
"2 ESE North East","12-hour snowfall.","PA",2.7,1710111600,2024-03-10 18:00:00,"March 10, 2024 - 06:00 PM EST","1-3 inches","12-hour snowfall."
"6 E Atlantic","12-hour snowfall.","PA",3,1710117000,2024-03-10 19:30:00,"March 10, 2024 - 07:30 PM EST","3-6 inches","12-hour snowfall."
"4 S Wesleyville","12-hour snowfall.","PA",3,1710113400,2024-03-10 18:30:00,"March 10, 2024 - 06:30 PM EST","3-6 inches","12-hour snowfall."
"2 ESE Cambridge Springs","12-hour snowfall.","PA",3.5,1710118800,2024-03-10 20:00:00,"March 10, 2024 - 08:00 PM EST","3-6 inches","12-hour snowfall."
"4 W Colt Station","12-hour snowfall.","PA",3.8,1710111600,2024-03-10 18:00:00,"March 10, 2024 - 06:00 PM EST","3-6 inches","12-hour snowfall."
"4 SE Harborcreek","12-hour snowfall.","PA",4,1710107820,2024-03-10 16:57:00,"March 10, 2024 - 04:57 PM EST","3-6 inches","12-hour snowfall."
"2 NW Edinboro","12-hour snowfall.","PA",4,1710104400,2024-03-10 16:00:00,"March 10, 2024 - 04:00 PM EST","3-6 inches","12-hour snowfall."
"3 NW Venango","12-hour snowfall.","PA",5,1710111720,2024-03-10 18:02:00,"March 10, 2024 - 06:02 PM EST","3-6 inches","12-hour snowfall."
"6 WNW Lowville","12-hour snowfall.","PA",6,1710118800,2024-03-10 20:00:00,"March 10, 2024 - 08:00 PM EST","6-9 inches","12-hour snowfall."
"1 WNW Union City","12-hour snowfall.","PA",7,1710113400,2024-03-10 18:30:00,"March 10, 2024 - 06:30 PM EST","6-9 inches","12-hour snowfall."
